Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
lookup 10000,4023.2894361159792,248.5528361502583,163.9440033819549,2653.738284130604,0.6595941769211815,233.0
insert 10000,1843.6947425901512,542.3891368237727,76.78167833391954,260.9970721399061,0.14156197667149562,530.0
delete 10000,1727.1705147634823,578.9816300430183,141.82834032215695,423.0906730910781,0.24496172756227017,529.0
pop 10000,1054.7915537189983,948.0546146527117,267.5008435479712,297.6174853496877,0.28215763038710723,847.0
lookup 100000,466.4038756657539,2144.064516129032,1322.1112054999885,287.6022552808326,0.6166377903063167,2090.0
insert 100000,169.83113331503353,5888.201889020071,1274.8267389173045,36.76933534741037,0.2165052698506342,5357.0
delete 100000,158.9317222907653,6292.010088272384,1382.1192054257367,34.91135307282538,0.21966258572945635,5569.0
pop 100000,100.37181736022923,9962.956,2186.6418083591107,22.029326659764635,0.21947721222086203,8877.5
lookup 1000000,49.67765836815127,20129.773279352226,11497.712815911722,28.3748575484382,0.5711794492839771,19566.0
delete 1000000,16.829630247012894,59419.01190476191,2761.5788250566256,0.7821797945441541,0.046476350523683305,58038.0
insert 1000000,14.74657803636587,67812.34246575342,14079.208520153044,3.0616867016141844,0.2076201471327041,60744.0
pop 1000000,10.999229035520381,90915.46296296296,3585.8562214931108,0.4338277844409825,0.039441653868648424,89219.5
