Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 100000,359808.4106179922,2.779256878076977,11.496367359033522,1488343.7727413436,4.136489667334416,2.7
pop 100000,320504.2623655326,3.120083310653473,12.696177819518939,1304189.2480923212,4.069179106906552,3.1
get 1000000,263960.47045609885,3.7884460437280407,16.004039584416798,1115083.537983719,4.224433817900686,3.6
pop 1000000,234682.88797907042,4.261069090342805,13.226806932538535,728480.3845834864,3.104105249669733,4.2
delete 100000,162430.86444817643,6.156465419286431,16.663423406400355,439644.19260577974,2.7066542685675863,6.1
put 100000,160054.86046608505,6.247857747574593,61.25166154711811,1569118.0142578639,9.803626142239857,6.0
delete 1000000,126085.87049473391,7.931102795866138,19.29840821044706,306799.27634341136,2.433256598376938,7.7
put 1000000,120135.4135641542,8.323940213232664,18.88707027755754,272587.97404654045,2.26900599880962,8.2
at_most 100000,114529.28321774864,8.73139141278612,19.527742688674117,256144.55557671862,2.236498372994478,8.6
at_most 1000000,104972.58257781433,9.526297014353416,18.630651337669264,205295.67607174747,1.9557075860219537,9.4
